Date,Open,High,Low,Close,Adj Close,Volume
2020-12-01,60.8959846496582,62.34809494018555,59.6910400390625,60.32955551147461,58.087276458740234,1060818
2020-12-02,60.15447998046875,62.09062957763672,59.248199462890625,61.740474700927734,59.44575500488281,858170
2020-12-03,62.10092544555664,64.56230926513672,61.905250549316406,64.04737091064453,61.66691207885742,1009160
2020-12-04,68.04325103759766,68.28012084960938,65.22142028808594,65.8084487915039,63.36253356933594,1258416
2020-12-07,66.72502899169922,67.54891967773438,63.87229537963867,64.29454040527344,61.9048957824707,1272690
2020-12-08,63.96498489379883,65.34500122070312,63.377960205078125,63.54273986816406,61.18103790283203,1426011
2020-12-09,63.86199951171875,64.45932006835938,62.77033996582031,63.89289474487305,61.5181770324707,1150926
2020-12-10,62.65705490112305,64.6961898803711,62.62615966796875,63.80020523071289,61.428932189941406,1100629
2020-12-11,63.19258499145508,64.30484008789062,61.915550231933594,62.87332534790039,60.536502838134766,1105095
2020-12-14,62.584964752197266,63.41915512084961,59.783729553222656,60.092689514160156,59.81888198852539,1572729
2020-12-15,60.62821960449219,63.048404693603516,59.52626037597656,62.667354583740234,62.38181686401367,2589948
2020-12-16,62.821834564208984,63.85169982910156,61.63748550415039,61.71987533569336,61.43865203857422,1108494
2020-12-17,62.23480987548828,62.70854949951172,60.87538528442383,61.967044830322266,61.684696197509766,1037708
2020-12-18,61.833160400390625,61.987640380859375,59.495365142822266,59.84552001953125,59.572837829589844,2228833
2020-12-21,58.249229431152344,58.64057540893555,57.06488037109375,57.42533493041992,57.16368103027344,2114450
2020-12-22,57.878475189208984,58.1771354675293,57.20906448364258,57.621009826660156,57.358463287353516,1579234
2020-12-23,58.249229431152344,59.05252456665039,57.8063850402832,58.403709411621094,58.137596130371094,972942
2020-12-24,58.784759521484375,59.08341979980469,57.8372802734375,58.43460464477539,58.16835403442383,502493
2020-12-28,58.46549987792969,60.216270446777344,58.259525299072266,60.07209014892578,59.798377990722656,1718087
2020-12-29,60.41194534301758,61.78166961669922,59.06282043457031,59.423274993896484,59.15251922607422,1250842
2020-12-30,59.43357467651367,61.040164947509766,59.43357467651367,59.77342987060547,59.501075744628906,774567
2020-12-31,59.46446990966797,61.49330520629883,58.877445220947266,61.35942459106445,61.0798454284668,983526
2021-01-04,61.79196548461914,62.55406951904297,58.29042053222656,58.99073028564453,58.72194290161133,1904617
